player_name,team,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_2030_31,guaranteed
Patrick Baldwin Jr.,LAC,263940.0,,,,,,131970.0
Jeremiah Robinson-Earl,DAL,131970.0,,,,,,131970.0
Dalano Banton,BOS,263940.0,,,,,,131970.0
Lawson Lovering,MEM,87784.0,,,,,,87784.0
Malachi Smith,BRK,73153.0,,,,,,115803.0
Kadary Richmond,WAS,73153.0,,,,,,73153.0
Keshon Gilbert,WAS,73153.0,,,,,,73153.0
Gabe McGlothan,IND,73153.0,,,,,,73153.0
Grant Nelson,BRK,73153.0,,,,,,73153.0
John Tonje,BOS,73153.0,,,,,,73153.0
Jaden Springer,NOP,70732.0,,,,,,70732.0
Malachi Smith,BRK,73153.0,,,,,,115803.0
