player_name,team_abbrev,salary_2025_26,total_guaranteed,AGE,GP,TS_PCT,PIE,USG_PCT,PTS,REB,AST,team_wins,team_win_pct
Zach Edey,MEM,6045000.0,12377760.0,23.0,66,0.624,0.111,0.156,9.2,8.3,1.0,48,0.585
Jaden Hardy,WAS,6000000.0,12000000.0,22.0,57,0.549,0.069,0.244,8.7,1.6,1.4,18,0.22
Jake LaRavia,LAL,6000000.0,12000000.0,23.0,66,0.591,0.081,0.14,6.9,3.9,2.4,50,0.61
Cason Wallace,OKC,5820240.0,13241046.0,21.0,68,0.562,0.075,0.124,8.4,3.4,2.5,68,0.829
Cody Williams,UTA,5742480.0,11758080.0,20.0,50,0.419,0.021,0.122,4.6,2.3,1.2,17,0.207
D'Angelo Russell,WAS,5685000.0,5685000.0,29.0,58,0.522,0.098,0.228,12.6,2.8,5.1,18,0.22
Al Horford,GSW,5685000.0,5685000.0,39.0,60,0.563,0.091,0.136,9.0,6.2,2.1,48,0.585
Tari Eason,HOU,5675766.0,5675766.0,24.0,57,0.567,0.117,0.185,12.0,6.4,1.5,52,0.634
Jett Howard,ORL,5529720.0,5529720.0,21.0,60,0.491,0.045,0.181,4.5,1.2,0.7,41,0.5
Guerschon Yabusele,CHI,5500000.0,5500000.0,29.0,70,0.616,0.092,0.163,11.0,5.6,2.1,39,0.476
Matas Buzelis,CHI,5455560.0,11170920.0,20.0,80,0.571,0.079,0.181,8.6,3.5,1.0,39,0.476
Dario Šarić,DET,5426400.0,5426400.0,31.0,16,0.449,0.067,0.157,3.5,3.1,1.4,44,0.537
Dalen Terry,NOP,5399118.0,5399118.0,22.0,73,0.546,0.056,0.142,4.5,1.7,1.3,21,0.256
Dereck Lively II,DAL,5253360.0,12492491.0,21.0,36,0.704,0.124,0.132,8.7,7.5,2.4,39,0.476
Kevin Porter Jr.,MIL,5134000.0,5134000.0,25.0,75,0.531,0.119,0.248,10.3,3.7,3.4,48,0.585
Marcus Smart,LAL,19920855.0,5134000.0,31.0,34,0.529,0.086,0.198,9.0,2.1,3.2,50,0.61
Andre Drummond,PHI,5000000.0,5000000.0,31.0,40,0.535,0.109,0.183,7.3,7.8,0.9,24,0.293
Moritz Wagner,ORL,5000000.0,5000000.0,28.0,30,0.649,0.165,0.254,12.9,4.9,1.4,41,0.5
Nick Richards,CHI,5000000.0,,27.0,57,0.634,0.107,0.169,9.3,8.2,0.9,39,0.476
Gradey Dick,TOR,4990560.0,12122071.0,21.0,54,0.543,0.071,0.209,14.4,3.6,1.8,30,0.366
Devin Carter,SAC,4923720.0,10081800.0,23.0,36,0.471,0.07,0.169,3.8,2.1,1.1,40,0.488
Christian Braun,DEN,4921797.0,129921797.0,24.0,79,0.665,0.096,0.155,15.4,5.2,2.6,50,0.61
Walker Kessler,UTA,4878938.0,4878938.0,23.0,58,0.66,0.127,0.133,11.1,12.2,1.7,17,0.207
Jordan Hawkins,NOP,4741320.0,11763215.0,23.0,56,0.504,0.066,0.204,10.8,2.8,1.2,21,0.256
Bub Carrington,WAS,4677600.0,9578160.0,19.0,82,0.514,0.071,0.154,9.8,4.2,4.4,18,0.22
Jose Alvarado,NYK,4500000.0,4500000.0,27.0,56,0.523,0.09,0.193,10.3,2.4,4.6,51,0.622
Nikola Jović,MIA,4445417.0,66845417.0,22.0,46,0.595,0.098,0.178,10.7,3.9,2.8,37,0.451
Kel'el Ware,MIA,4443360.0,9098280.0,21.0,64,0.603,0.119,0.169,9.3,7.4,0.9,37,0.451
Peyton Watson,DEN,4356476.0,4356476.0,22.0,68,0.564,0.066,0.138,8.1,3.4,1.4,50,0.61
Miles McBride,NYK,4333333.0,8289856.0,24.0,64,0.531,0.077,0.162,9.5,2.5,2.9,51,0.622
Keyonte George,UTA,4278960.0,10842885.0,21.0,67,0.539,0.093,0.237,16.8,3.8,5.6,17,0.207
Jared McCain,OKC,4221360.0,8643960.0,21.0,23,0.589,0.106,0.243,15.3,2.4,2.6,68,0.829
Kevin Love,UTA,4150000.0,4150000.0,36.0,23,0.488,0.109,0.23,5.3,4.1,1.0,17,0.207
Dalton Knecht,LAL,4010160.0,8211240.0,24.0,78,0.594,0.087,0.181,9.1,2.8,0.8,50,0.61
Ryan Rollins,MIL,4000000.0,8000000.0,22.0,56,0.6,0.088,0.179,6.2,1.9,1.9,48,0.585
Dwight Powell,DAL,4000000.0,4000000.0,33.0,55,0.713,0.073,0.073,2.1,2.1,1.0,39,0.476
Jaime Jaquez Jr.,MIA,3861600.0,9800741.0,24.0,66,0.543,0.098,0.194,8.6,4.4,2.5,37,0.451
Tristan Da Silva,ORL,3809520.0,7800720.0,24.0,74,0.522,0.074,0.149,7.2,3.3,1.5,41,0.5
Cole Anthony,MEM,5996274.0,11100000.0,25.0,67,0.531,0.105,0.238,9.4,3.0,2.9,48,0.585
Gary Trent Jr.,MIL,3697105.0,3697105.0,26.0,74,0.591,0.07,0.168,11.1,2.3,1.2,48,0.585
Brandin Podziemski,GSW,3687960.0,9367419.0,22.0,64,0.557,0.114,0.177,11.7,5.1,3.4,48,0.585
Svi Mykhailiuk,UTA,3675000.0,,28.0,38,0.526,0.067,0.198,8.8,2.4,2.0,17,0.207
Ja'Kobe Walter,TOR,3638160.0,7449960.0,20.0,52,0.523,0.068,0.179,8.6,3.1,1.6,30,0.366
Gary Harris,MIL,3634153.0,3634153.0,30.0,48,0.524,0.043,0.09,3.0,1.3,0.6,48,0.585
Cam Whitmore,WAS,3539760.0,8998070.0,20.0,51,0.549,0.108,0.231,9.4,3.0,1.0,18,0.22
Jaxson Hayes,LAL,3449323.0,3449323.0,25.0,56,0.72,0.097,0.12,6.8,4.8,1.0,50,0.61
Dominick Barlow,PHI,3415000.0,3415000.0,22.0,35,0.58,0.082,0.141,4.2,2.4,0.5,24,0.293
